Course,Location,CRN,Course Title,Instructor,Days,Start Time,End Time,Est Enroll,Act Enroll
ACCT 30110 02,1144 319,11573,Acct Measurement&Disclosure I,"Donovan,John",MW,12:30 PM,1:45 PM,26,20
ACCT 30110 03,1144 319,12063,Acct Measurement&Disclosure I,"Donovan,John",MW,2:00 PM,3:15 PM,26,19
MGTO 30620 01,1144 319,14718,Business Communication,"Harms,Chad",MW,9:30 AM,10:45 AM,24,24
MGTO 30620 02,1144 319,14719,Business Communication,"Harms,Chad",MW,9:30 AM,10:45 AM,24,22
MATH 30850 01,1144 320,11254,Honors Analysis I,"Nicolaescu,Liviu",MWF,11:30 AM,12:20 PM,14,12
MGTO 30120 04,1144 320,14866,Strategic Management,"Montalbano,Michael",TR,2:00 PM,3:15 PM,35,33
EALC 10111 01,1144 330,11155,First-Year Chinese I,"Ma,Congcong",TR,9:30 AM,10:20 AM,16,8
EALC 10111 02,1144 330,11712,First-Year Chinese I,"Ma,Congcong",TR,11:00 AM,11:50 AM,16,5
EALC 10111 03,1144 330,11965,First-Year Chinese I,"Ma,Congcong",TR,2:00 PM,2:50 PM,16,5
HIST 13184 08,1144 330,18366,History University Seminar,"Fernandez-Armesto,Felipe",TR,3:30 PM,4:45 PM,16,16
LLRO 61076 01,1144 330,11629,Practicum in Teaching French,"Haileselassie,Azeb",F,3:00 PM,5:00 PM,16,3
POLS 12200 06,1144 330,12411,IR Discussion,"Rosato,Susan",F,1:00 PM,1:50 PM,15,8
POLS 13181 06,1144 330,14725,Soc Science University Seminar,"Bambrick,Christina",TR,12:30 PM,1:45 PM,16,15
POLS 53001 03,1144 330,14728,Senior Writing Seminar,"Perez-Linan,Anibal",MW,3:30 PM,4:45 PM,16,16
ROSP 10102 01,1144 330,11617,Beginning Spanish II,"Noyola Contreras,Carlos Alejandro",MWF,8:20 AM,9:10 AM,16,14
ROSP 10102 02,1144 330,10346,Beginning Spanish II,"Ortiz,Selene",MWF,9:25 AM,10:15 AM,16,15
ROSP 10102 04,1144 330,10220,Beginning Spanish II,"Ruiz Alvarez,Maria",MWF,11:30 AM,12:20 PM,16,16
THEO 10001 13,1144 330,18574,Found of Theo: Biblcl Historcl,"Pagliarini,Anthony",MWF,10:30 AM,11:20 AM,12,12
CHEM 23201 01,1144 331,10471,Chemistry Seminar,"Miller,Thurston",T,11:00 AM,11:50 AM,22,19
CHEM 23201 02,1144 331,12316,Chemistry Seminar,"Miller,Thurston",T,12:30 PM,1:20 PM,22,20
